timestamp_s,eeg_1,eeg_2,eeg_3,eeg_4
-0.937500,58.105469,26.367188,36.132812,39.550781
-0.933594,61.523438,23.925781,35.644531,54.687500
-0.929688,31.738281,30.761719,42.480469,51.757812
-0.925781,49.316406,25.878906,39.550781,45.898438
-0.921875,29.296875,22.949219,39.062500,36.621094
-0.917969,45.898438,27.343750,37.597656,42.968750
-0.914062,62.011719,30.273438,37.597656,62.500000
-0.910156,33.691406,34.667969,40.527344,57.128906
-0.906250,50.781250,34.667969,38.085938,50.292969
-0.902344,38.574219,34.179688,38.574219,41.992188
-0.898438,47.851562,29.785156,36.621094,41.015625
-0.894531,68.847656,30.273438,33.203125,58.593750
-0.890625,38.574219,36.621094,36.132812,54.687500
-0.886719,48.828125,34.179688,35.156250,44.921875
-0.882812,37.597656,33.203125,34.667969,33.691406
-0.878906,41.015625,35.156250,34.667969,33.203125
-0.875000,74.218750,33.691406,33.691406,52.734375
-0.871094,38.085938,36.621094,36.621094,54.687500
-0.867188,46.875000,38.574219,35.644531,43.457031
-0.863281,48.828125,39.062500,36.621094,32.226562
-0.859375,39.550781,36.621094,35.644531,29.296875
-0.855469,69.335938,26.855469,32.714844,44.921875
-0.851562,35.156250,26.367188,35.156250,47.851562
-0.847656,30.761719,30.273438,34.667969,36.621094
-0.843750,31.738281,37.109375,35.156250,27.832031
-0.839844,18.554688,42.480469,34.179688,22.460938
-0.835938,58.105469,37.597656,33.691406,40.039062
-0.832031,35.156250,40.039062,39.550781,50.781250
-0.828125,29.296875,42.968750,37.597656,41.992188
-0.824219,45.898438,41.015625,37.597656,34.667969
-0.820312,28.808594,36.621094,39.062500,26.855469
-0.816406,63.964844,30.761719,33.691406,41.992188
-0.812500,46.875000,31.250000,34.179688,51.269531
-0.808594,29.785156,31.738281,36.132812,39.062500
-0.804688,44.921875,31.250000,34.667969,33.691406
-0.800781,22.949219,31.738281,31.738281,26.367188
-0.796875,53.710938,29.785156,28.320312,34.667969
-0.792969,49.804688,33.691406,30.761719,45.898438
